Ubicacion,Producto,Error
Línea 163,"Cacao Amargo","El precio '' no pudo ser parseado a número de forma válida"
Línea 245,"Cookie + Proteína Sabor Chocolate y Nuez - 60g","El precio '' no pudo ser parseado a número de forma válida"
Línea 246,"Cookie + Proteína Sabor Lemón Pie - 60g","El precio '' no pudo ser parseado a número de forma válida"
Línea 336,"Fruta Abrillantada (Confitada)","El precio '' no pudo ser parseado a número de forma válida"
Línea 374,"Harina de Fariña de Mandioca","El precio '' no pudo ser parseado a número de forma válida"
Línea 494,"Omega 3 + Chía","El precio '' no pudo ser parseado a número de forma válida"
Línea 495,"Orégano en hoja","El precio '' no pudo ser parseado a número de forma válida"
Línea 504,"Pan Multicereal D&D (420g)","El precio '' no pudo ser parseado a número de forma válida"
Línea 577,"Romerillo","El precio '' no pudo ser parseado a número de forma válida"
Línea 643,"Tradicional - 1Kg","El precio '' no pudo ser parseado a número de forma válida"
